"play","value"
"Jorge Herrando","€6.00m"
"Alejandro Catena","€4.00m"
"Unai García","€1.20m"
"Juan Cruz","€2.20m"
"Johan Mojica","€2.20m"
"Jesús Areso","€7.50m"
"Rubén Peña","€2.20m"
"Iker Muñoz","€5.00m"
"Lucas Torró","€4.00m"
"Jon Moncayola","€7.00m"
"Pablo Ibáñez","€2.50m"
"Aimar Oroz","€15.00m"
"Moi Gómez","€3.50m"
"Rubén García","€2.50m"
"José Manuel Arnáiz","€2.00m"
"Kike Barja","€2.00m"
"Ante Budimir","€5.00m"
"Raúl García","€4.00m"
"Predrag Rajkovic","€10.00m"
"Dominik Greif","€2.50m"
"Iván Cuéllar","€100k"
"Martin Valjent","€6.00m"
"José Copete","€2.80m"
"Siebe Van der Heyden","€2.00m"
"Antonio Raíllo","€2.00m"
"Matija Nastasic","€1.50m"
"Toni Lato","€3.50m"
"Jaume Costa","€900k"
"Pablo Maffeo","€5.00m"
"Giovanni González","€3.00m"
"Nacho Vidal","€2.00m"
"Samú Costa","€10.00m"
"Omar Mascarell","€1.00m"
"Sergi Darder","€6.00m"
"Manu Morlanes","€2.50m"
"Antonio Sánchez","€2.50m"
"Dani Rodríguez","€1.00m"
"Nemanja Radonjic","€2.80m"
"Javi Llabrés","€700k"
"Vedat Muriqi","€12.00m"
"Cyle Larin","€4.00m"
"Abdón Prats","€1.80m"
"Luís Maximiano","€5.00m"
"Fernando Martínez","€700k"
"Diego Mariño","€300k"
"Edgar González","€3.00m"
"César Montes","€3.00m"
"Chumi","€2.00m"
"Aleksandar Radovanovic","€900k"
"Bruno Langa","€1.50m"
"Álex Centelles","€1.20m"
"Marc Pubill","€4.00m"
"Álex Pozo","€2.00m"
"Dion Lopy","€10.00m"
"Lucas Robertone","€7.00m"
"Iddrisu Baba","€2.20m"
"Gonzalo Melero","€1.80m"
"Marcos Peña","€1.00m"
"Sergio Arribas","€10.00m"
"Jonathan Viera","€1.00m"
"Largie Ramazani","€5.00m"
"Luka Romero","€5.00m"
"Adrián Embarba","€1.80m"
"Luis Suárez","€3.50m"
"Ibrahima Koné","€2.50m"
"Léo Baptistão","€1.50m"
"Choco Lozano","€1.20m"
"Marko Milovanovic","€900k"
"Augusto Batalla","€5.00m"
"Marc Martínez","€300k"
"Raúl Fernández","€200k"
"Bruno Méndez","€5.00m"
"Raúl Torrente","€3.00m"
"Kamil Piatkowski","€2.50m"
"Miguel Rubio","€1.50m"
"Ignasi Miquel","€1.20m"
"Jesús Vallejo","€1.00m"
"Faitout Maouassa","€4.00m"
"Carlos Neva","€2.50m"
"Ricard Sánchez","€2.50m"
"Víctor Díaz","€400k"
"Gerard Gumbau","€3.00m"
"Martin Hongla","€2.50m"
"Gonzalo Villar","€3.00m"
"Sergio Ruiz","€2.00m"
"Óscar Melendo","€2.00m"
"Myrto Uzuni","€8.00m"
"Kamil Jóźwiak","€2.00m"
"Facundo Pellistri","€8.00m"
"Antonio Puertas","€2.00m"
"Theo Corbeanu","€1.50m"
"José Callejón","€800k"
"Lucas Boyé","€7.00m"
"Matías Arezo","€7.00m"
"Stole Dimitrievski","€4.00m"
"Dani Cárdenas","€1.80m"
"Florian Lejeune","€3.00m"
"Abdul Mumin","€2.50m"
"Aridane Hernández","€800k"
"Martín Pascual","€300k"
"Alfonso Espino","€2.40m"
"Pep Chavarría","€2.00m"
"Iván Balliu","€2.00m"
"Andrei Rațiu","€1.40m"
"Miguel Crespo","€4.00m"
"Óscar Valentín","€4.00m"
"Kike Pérez","€3.00m"
"Unai López","€3.00m"
"Pathé Ciss","€2.50m"
"Randy Nteka","€1.50m"
"José Pozo","€1.00m"
"Óscar Trejo","€1.00m"
"Álvaro García","€3.00m"
"Bebé","€600k"
"Isi Palazón","€8.00m"
"Jorge de Frutos","€4.00m"
"Sergio Camello","€3.00m"
"Raúl de Tomás","€2.00m"
"Radamel Falcao","€800k"
"Conan Ledesma","€5.00m"
"David Gil","€700k"
"Fali","€2.00m"
"Víctor Chust","€2.00m"
"Aiham Ousou","€1.80m"
"Jorge Meré","€1.00m"
"Luis Hernández","€500k"
"Momo Mbaye","€400k"
"Javi Hernández","€2.50m"
"Lucas Pires","€2.00m"
"Iza Carcelén","€1.50m"
"Joseba Zaldua","€900k"
"Diadié Samassékou","€2.00m"
"José Mari","€200k"
"Rominigue Kouamé","€2.00m"
"Rubén Alcaraz","€1.50m"
"Gonzalo Escalante","€1.50m"
"Fede San Emeterio","€1.50m"
"Robert Navarro","€6.00m"
"Álex Fernández","€1.50m"
"Juanmi","€6.00m"
"Darwin Machís","€2.00m"
"Brian Ocampo","€900k"
"Iván Alejo","€1.50m"
"Chris Ramos","€4.00m"
"Maxi Gómez","€2.00m"
"Rubén Sobrino","€1.40m"
"Roger Martí","€1.20m"
"Sergi Guardiola","€800k"
