"play","value"
"Christopher Lenz","€1.50m"
"Benjamin Henrichs","€20.00m"
"Xaver Schlager","€28.00m"
"Amadou Haidara","€20.00m"
"Nicolas Seiwald","€16.00m"
"Kevin Kampl","€3.50m"
"Xavi Simons","€80.00m"
"Dani Olmo","€50.00m"
"Eljif Elmas","€20.00m"
"Christoph Baumgartner","€18.00m"
"Loïs Openda","€60.00m"
"Benjamin Sesko","€50.00m"
"Yussuf Poulsen","€6.00m"
"Gregor Kobel","€40.00m"
"Marcel Lotka","€1.30m"
"Alexander Meyer","€800k"
"Nico Schlotterbeck","€40.00m"
"Niklas Süle","€15.00m"
"Mats Hummels","€5.00m"
"Antonios Papadopoulos","€1.00m"
"Ian Maatsen","€40.00m"
"Ramy Bensebaini","€7.00m"
"Julian Ryerson","€20.00m"
"Marius Wolf","€3.00m"
"Mateu Morey","€800k"
"Salih Özcan","€10.00m"
"Emre Can","€10.00m"
"Abdoulaye Kamara","€1.50m"
"Felix Nmecha","€20.00m"
"Marcel Sabitzer","€20.00m"
"Kjell Wätjen","€2.00m"
"Ole Pohlmann","€1.50m"
"Julian Brandt","€40.00m"
"Marco Reus","€5.00m"
"Jadon Sancho","€30.00m"
"Karim Adeyemi","€28.00m"
"Jamie Bynoe-Gittens","€28.00m"
"Donyell Malen","€40.00m"
"Julien Duranville","€8.50m"
"Youssoufa Moukoko","€22.00m"
"Niclas Füllkrug","€15.00m"
"Sébastien Haller","€10.00m"
"Alexander Nübel","€12.00m"
"Fabian Bredlow","€1.00m"
"Dennis Seimen","€1.00m"
"Florian Schock","€200k"
"Hiroki Ito","€30.00m"
"Waldemar Anton","€20.00m"
"Dan-Axel Zagadou","€10.00m"
"Anthony Rouault","€7.00m"
"Leonidas Stergiou","€5.00m"
"Maximilian Mittelstädt","€17.00m"
"Josha Vagnoman","€10.00m"
"Pascal Stenzel","€2.50m"
"Angelo Stiller","€20.00m"
"Atakan Karazor","€12.00m"
"Mahmoud Dahoud","€6.00m"
"Nikolas Nartey","€600k"
"Roberto Massimo","€800k"
"Enzo Millot","€30.00m"
"Woo-yeong Jeong","€3.50m"
"Lilian Egloff","€800k"
"Genki Haraguchi","€500k"
"Laurin Ulrich","€500k"
"Chris Führich","€28.00m"
"Silas","€10.00m"
"Jamie Leweling","€9.00m"
"Luca Raimund","€500k"
"Serhou Guirassy","€40.00m"
"Deniz Undav","€25.00m"
"Kevin Trapp","€4.00m"
"Kauã Santos","€1.50m"
"Jens Grahl","€200k"
"Simon Simoni","€200k"
"Willian Pacho","€35.00m"
"Robin Koch","€18.00m"
"Tuta","€12.00m"
"Hrvoje Smolcic","€3.00m"
"Nnamdi Collins","€1.00m"
"Makoto Hasebe","€500k"
"Dario Gebuhr","€400k"
"Davis Bautista","€250k"
"Niels Nkounkou","€7.50m"
"Philipp Max","€2.00m"
"Aurélio Buta","€5.00m"
"Elias Baum","€1.00m"
"Timothy Chandler","€500k"
"Ellyes Skhiri","€11.00m"
"Hugo Larsson","€28.00m"
"Junior Dina Ebimbe","€12.00m"
"Donny van de Beek","€5.00m"
"Sebastian Rode","€1.00m"
"Sidney Raebiger","€300k"
"Mehdi Loune","€300k"
"Harpreet Ghotra","€100k"
"Farès Chaïbi","€18.00m"
"Mario Götze","€5.50m"
"Jean-Mattéo Bahoya","€7.50m"
"Ansgar Knauff","€10.00m"
"Omar Marmoush","€22.00m"
"Hugo Ekitiké","€20.00m"
"Sasa Kalajdzic","€5.00m"
"Nacho Ferri","€2.00m"
"Koen Casteels","€6.00m"
"Pavao Pervan","€300k"
"Niklas Klinger","€100k"
"Maxence Lacroix","€20.00m"
"Moritz Jenz","€7.50m"
"Sebastiaan Bornauw","€7.00m"
"Cédric Zesiger","€5.00m"
"Rogério","€5.00m"
"Joakim Maehle","€14.00m"
"Ridle Baku","€7.00m"
"Kilian Fischer","€1.50m"
"Kofi Amoako","€400k"
"Aster Vranckx","€12.00m"
"Mattias Svanberg","€12.00m"
"Maximilian Arnold","€7.00m"
